GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACE library,se.sics.ace.coap.as,DtlsAS,125,281,16,10,20,52,15,3,2,3
ACE library,se.sics.ace.coap.as,AceObservableEndpoint,160,22,12,0,40,7,10,2,4,2
ACE library,se.sics.ace.coap.as,OscoreAceEndpoint,50,73,5,3,16,17,7,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS.IdPair,8,32,1,1,1,10,1,3,0,3
ACE library,se.sics.ace.coap.as,CoapDtlsEndpoint,48,72,5,3,16,17,7,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS,83,233,7,9,12,48,10,4,3,3
ACE library,se.sics.ace.coap.as,CoapDBConnector,22,82,5,7,10,26,6,10,1,9
ACE library,se.sics.ace.cwt,CwtCryptoCtx,0,226,1,1,0,47,1,20,0,20
ACE library,se.sics.ace.cwt,CWT,81,641,29,54,22,152,27,32,1,14
ACE library,se.sics.ace,GroupcommParameters,3,50,0,0,1,7,1,2,1,2
ACE library,se.sics.ace,Util,612,544,79,53,123,131,63,22,6,13
ACE library,se.sics.ace,ReferenceToken,169,49,21,1,39,13,15,5,4,5
ACE library,se.sics.ace,Constants,178,494,37,9,42,116,24,7,3,4
ACE library,se.sics.ace,Hkdf,389,95,1,3,10,22,3,3,2,2
ACE library,se.sics.ace,AceException,0,4,0,0,0,2,0,1,0,1
ACE library,se.sics.ace,GroupcommErrors,3,0,0,0,1,0,1,0,1,0
ACE library,se.sics.ace,COSEparams,43,93,9,1,12,19,7,6,2,6
ACE library,se.sics.ace,Message,0,34,0,0,0,11,0,1,0,1
ACE library,se.sics.ace,GroupcommPolicies,3,0,0,0,1,0,1,0,1,0
ACE library,se.sics.ace.oscore.as,GroupOSCOREJoinPDP,404,1349,56,108,104,288,54,53,7,18
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreAuthzInfo,176,428,10,34,40,102,11,17,1,5
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreSecurityContext,51,337,10,32,15,81,11,17,1,6
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreCtxDbSingleton,3,8,0,2,1,3,1,2,1,1
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreIntrospection,69,113,8,2,15,26,5,3,0,3
ACE library,se.sics.ace.ucs,UcsHelper,576,1274,65,61,162,226,64,36,15,22
ACE library,se.sics.ace.ucs,UcsClient,15,194,0,2,7,43,2,14,2,13
ACE library,se.sics.ace.ucs,AcePep,41,17,2,0,13,8,3,3,2,3
ACE library,se.sics.ace.ucs.xacml,RequestSerializationFactory,54,29,5,1,12,8,5,4,1,4
ACE library,se.sics.ace.ucs.xacml,CATEGORY,38,67,8,0,11,9,7,2,3,2
ACE library,se.sics.ace.ucs.xacml,AdditionalAttribute,22,24,0,0,11,9,6,4,6,4
ACE library,se.sics.ace.ucs.xacml,RequestXMLSerializer,50,162,1,7,10,36,2,8,1,5
ACE library,se.sics.ace.ucs.xacml,RequestSerializationFactory.SERIALIZATION_FORMAT,0,24,0,0,0,2,0,1,0,1
ACE library,se.sics.ace.ucs.xacml,RequestGenerator,159,290,10,10,36,65,11,9,1,7
ACE library,se.sics.ace.examples,LocalMessage,30,146,5,13,6,36,4,17,1,11
ACE library,se.sics.ace.examples,SQLConnector,1027,3194,122,264,261,873,117,142,8,58
ACE library,se.sics.ace.examples,KissTime,0,8,0,0,0,2,0,2,0,2
ACE library,se.sics.ace.examples,XacmlPDP.new FilenameFilter() {...},11,0,0,0,2,0,2,0,2,0
ACE library,se.sics.ace.examples,PostgreSQLDBAdapter,482,0,22,0,112,0,19,0,8,0
ACE library,se.sics.ace.examples,MySQLDBAdapter,23,807,3,5,7,82,3,9,0,8
ACE library,se.sics.ace.examples,XacmlPDP,611,0,56,0,155,0,44,0,16,0
ACE library,se.sics.ace.examples,KissPDP,287,854,36,56,77,184,36,32,6,16
ACE library,se.sics.ace.examples,Aif,55,187,8,20,13,40,9,12,1,6
ACE library,se.sics.ace.examples,KissValidator,72,158,15,19,19,31,13,11,2,5
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourcePolicies,50,98,5,5,14,27,5,2,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORERootGroupMembershipResource,47,319,11,27,16,69,10,11,0,2
